repo_path	drive_id	drive_title	mime_type	drive_size_bytes	drive_modified	md5	status
The Method Materials/LOWDIN-DELIVERY-1/ground-run.log	1go8SIy-WXAp0toEl0V409BzGy2-dk_5B	ground-run.log	text/plain	294	2026-09-01T20:17:19.847Z	6bc5a6196d6de9348b6618fb92d27fe4	ok
The Method Materials/LOWDIN-DELIVERY-1/ground-run__1QC2qvFft2iSIjiuDDp9tki2ILbvUemJm.log	1QC2qvFft2iSIjiuDDp9tki2ILbvUemJm	ground-run.log	text/plain	294	2026-09-01T20:16:29.656Z	6bc5a6196d6de9348b6618fb92d27fe4	ok
The Method Materials/LOWDIN-DELIVERY-1/ground-run__1eSu6LY-mY46_1zOTfkXVaAeZnTUldGH3.log	1eSu6LY-mY46_1zOTfkXVaAeZnTUldGH3	ground-run.log	text/plain	294	2026-09-01T20:13:04.839Z	6bc5a6196d6de9348b6618fb92d27fe4	ok
The Method Materials/LOWDIN-DELIVERY-1/ground-run__1wVvP-9xlJFVid4CWRjb-1D6pV4Z2V1Ze.log	1wVvP-9xlJFVid4CWRjb-1D6pV4Z2V1Ze	ground-run.log	text/plain	294	2026-09-01T20:17:19.407Z	6bc5a6196d6de9348b6618fb92d27fe4	ok
The Method Materials/LOWDIN-DELIVERY-1/ground.py	12fhRuDLVMHBhVpbU54FzojkXtbyvQpfG	ground.py	text/x-python	6472	2026-09-01T20:17:19.776Z	236975ac23aa29960d4f7c2a4d200cd6	ok
The Method Materials/LOWDIN-DELIVERY-1/ground__13XNwR_QVNd3E6UPsgxf4xU8RwWsfUM8K.py	13XNwR_QVNd3E6UPsgxf4xU8RwWsfUM8K	ground.py	text/x-python	6472	2026-09-01T20:17:18.761Z	236975ac23aa29960d4f7c2a4d200cd6	ok
The Method Materials/LOWDIN-DELIVERY-1/ground__1Olw9A6U77fVSuemnQAZcOg55wcI1Oj9B.py	1Olw9A6U77fVSuemnQAZcOg55wcI1Oj9B	ground.py	text/x-python	6472	2026-09-01T20:11:44.831Z	236975ac23aa29960d4f7c2a4d200cd6	ok
The Method Materials/LOWDIN-DELIVERY-1/ground__1PIbmUpYAlUs-NraSrRN4BTNwovlPoyyx.py	1PIbmUpYAlUs-NraSrRN4BTNwovlPoyyx	ground.py	text/x-python	6472	2026-09-01T20:16:29.566Z	236975ac23aa29960d4f7c2a4d200cd6	ok
The Method Materials/Lach_Elemental_Lattice_2026.pdf	1KYAiKSItbYHW9Dk3Cg1txWSrDD4cTJaB	Lach_Elemental_Lattice_2026.pdf	application/pdf	1941358	2026-08-26T14:53:25.249Z	518594eb36bac906e36ee0deec3e3b15	ok
The Method Materials/MANIFEST.txt	1u3suDYn4BE9FlOXAXiec3smiRj4Zp7OM	MANIFEST.txt	text/plain	1741	2026-08-24T18:07:36.085Z	69d6c9048bc67d4548a21914b48272c3	ok
The Method Materials/MANIFEST__12bp6aJeOUPhfUnPIKl-AG1RjM8dU4_GG.txt	12bp6aJeOUPhfUnPIKl-AG1RjM8dU4_GG	MANIFEST.txt	text/plain	1741	2026-08-24T18:07:33.445Z	69d6c9048bc67d4548a21914b48272c3	ok
The Method Materials/MANIFEST__1HXd3Ch75ltGLtZZPK82yXfR2Neq29Lb8.txt	1HXd3Ch75ltGLtZZPK82yXfR2Neq29Lb8	MANIFEST.txt	text/plain	1741	2026-08-24T18:07:34.603Z	69d6c9048bc67d4548a21914b48272c3	ok
The Method Materials/MANIFEST__1Z3bmoMhPl1ybi-vGvsdCANHjuJXMUs_7.txt	1Z3bmoMhPl1ybi-vGvsdCANHjuJXMUs_7	MANIFEST.txt	text/plain	1741	2026-08-24T18:07:31.147Z	69d6c9048bc67d4548a21914b48272c3	ok
The Method Materials/MEASUREMENTS-DERIVED.tsv	1bcH8EeQk_T2nejo0Gzk7TZdSIwG61OXT	MEASUREMENTS-DERIVED.tsv	text/tab-separated-values	90347	2026-08-24T18:07:36.226Z	921d1659403647fa8a4d5fccbc9d5e87	ok
The Method Materials/MEASUREMENTS-DERIVED__14H9vbNeE5ZhU3F1ULKJ1UNhxu2gK7xlH.tsv	14H9vbNeE5ZhU3F1ULKJ1UNhxu2gK7xlH	MEASUREMENTS-DERIVED.tsv	text/tab-separated-values	90347	2026-08-24T18:07:33.756Z	921d1659403647fa8a4d5fccbc9d5e87	ok
The Method Materials/MEASUREMENTS-DERIVED__1T_WwbQ2qcaY2vqkpxz2O3wXNIYYiPlfC.tsv	1T_WwbQ2qcaY2vqkpxz2O3wXNIYYiPlfC	MEASUREMENTS-DERIVED.tsv	text/tab-separated-values	90347	2026-08-24T18:07:31.622Z	921d1659403647fa8a4d5fccbc9d5e87	ok
The Method Materials/MEASUREMENTS-DERIVED__1y4XOLDRlutbNXz8ZAzF_MiQJox6qr6ra.tsv	1y4XOLDRlutbNXz8ZAzF_MiQJox6qr6ra	MEASUREMENTS-DERIVED.tsv	text/tab-separated-values	90347	2026-08-24T18:07:35.002Z	921d1659403647fa8a4d5fccbc9d5e87	ok
The Method Materials/MERGE-CERTIFICATE-BUILD55.md	1pcY1Bm3xq9ojnbJjusL8-64wEsK_MmUR	MERGE-CERTIFICATE-BUILD55.md	text/markdown	2613	2026-08-28T22:35:09.638Z	7e81798a294cdaec640035be9ea51d42	ok
The Method Materials/MERGE-CERTIFICATE-BUILD55__11QkKdp9xnVnu0KFgfNOPRW8aYvkobaJi.md	11QkKdp9xnVnu0KFgfNOPRW8aYvkobaJi	MERGE-CERTIFICATE-BUILD55.md	text/markdown	2655	2026-08-28T22:33:20.608Z	31d8a0aa86dc7174decf3ec5a544927b	ok
The Method Materials/NI_full.tsv	1xbiKPKdh6yfnh3AgPf3ILjt9nMSU3fq2	NI_full.tsv	text/tab-separated-values	698	2026-08-24T18:07:36.563Z	7d871319df87b99a126b6d384ede933b	ok
The Method Materials/NI_full__1fFo3XIkLn5R-oTh11ZI2Oe4ObU6h8-3L.tsv	1fFo3XIkLn5R-oTh11ZI2Oe4ObU6h8-3L	NI_full.tsv	text/tab-separated-values	698	2026-08-24T18:07:35.380Z	7d871319df87b99a126b6d384ede933b	ok
The Method Materials/NI_full__1jDtLS_UWqVztGhQjtKs2LMMpgeRSqjES.tsv	1jDtLS_UWqVztGhQjtKs2LMMpgeRSqjES	NI_full.tsv	text/tab-separated-values	698	2026-08-24T18:07:32.352Z	7d871319df87b99a126b6d384ede933b	ok
The Method Materials/NI_full__1qX_RLb94taGH3K6OSOX-mtGUQh6taQMM.tsv	1qX_RLb94taGH3K6OSOX-mtGUQh6taQMM	NI_full.tsv	text/tab-separated-values	698	2026-08-24T18:07:31.946Z	7d871319df87b99a126b6d384ede933b	ok
The Method Materials/NUCLEON-E9-RESOLVED-1.md	13jLilMDaW5Fw35YFro2_3NZ9VF-hPLW0	NUCLEON-E9-RESOLVED-1.md	text/markdown	3875	2026-08-29T22:00:18.281Z	d3b0316398b376e90fc6830cc5d9a690	ok
The Method Materials/NUCLEON-E9-RESOLVED.md	1i-vkK5Q4SSZGsiamPgtDKu2wbWxn_4-7	NUCLEON-E9-RESOLVED.md	text/markdown	3875	2026-08-29T21:34:03.632Z	d3b0316398b376e90fc6830cc5d9a690	ok
The Method Materials/OWED-EXPANSIONS-1.md	1DPfL7DTYSZ55koBVjzmzyFjMcw57sLlk	OWED-EXPANSIONS-1.md	text/markdown	14550	2026-08-28T16:16:34.947Z	d049fa07620eca840294678d6d7973f9	ok
The Method Materials/OWED-EXPANSIONS-2.md	148rA2BAYZ0abWZzdrIxY2ZiRBn1l70bu	OWED-EXPANSIONS-2.md	text/markdown	37051	2026-08-28T21:36:14.041Z	7b12a029d9e3ecd8af9876a021543d63	ok
The Method Materials/OWED-REGISTER-EXPANSIONS.md	1EEUiDyayJnLLOiij7o3CIleqfXo_1E6X	OWED-REGISTER-EXPANSIONS.md	text/markdown	27931	2026-08-28T21:36:13.844Z	62ade6c2c3b7684ce51655e1efd36357	ok
The Method Materials/On_the_Matter_of_Time_Travel.pdf	11PaIIC8l6v-_QTDczkxh9cWTA5YVRwCj	On_the_Matter_of_Time_Travel.pdf	application/pdf	1619880	2026-08-26T14:33:01.412Z	2d717d7a9aa4818025868d8d27ee47df	ok
The Method Materials/PILOT-chapter7-rewrite-v2.md	1j3a0vSpe8xzdzWVnRun8-zSTCEnQU0Bf	PILOT-chapter7-rewrite-v2.md	text/markdown	10978	2026-08-28T16:16:36.530Z	56092790a65866d12ea7e4c2b83502bc	ok
The Method Materials/PILOT-chapter7-rewrite.md	1-5PDAQgja_Es_3rVuHLpbbKP1kFBNYx5	PILOT-chapter7-rewrite.md	text/markdown	14719	2026-08-28T16:16:36.459Z	0f47b609d79f32f7089ef0d8bedceee4	ok
The Method Materials/PROPOSED-preface-scope-boundary.md	1Bj9fVyrrMmn8R7m4FwAuLSX7efe7hkXm	PROPOSED-preface-scope-boundary.md	text/markdown	5038	2026-08-28T16:16:36.216Z	ff7ccff2e309e362f8b4870394479956	ok
The Method Materials/READING-LIST-STAGING.tsv	1_TqgVesihnbBjgDCvVcE2Te_9mAA2ThZ	READING-LIST-STAGING.tsv	text/tab-separated-values	243403	2026-08-24T18:07:35.541Z	9f9dca7e45eff17ddad4adb6885b3b79	ok
The Method Materials/READING-LIST-STAGING__13tnKHjRXTnsDo6sMSJEz2BjeH3gn7niP.tsv	13tnKHjRXTnsDo6sMSJEz2BjeH3gn7niP	READING-LIST-STAGING.tsv	text/tab-separated-values	243403	2026-08-24T18:07:34.923Z	9f9dca7e45eff17ddad4adb6885b3b79	ok
The Method Materials/READING-LIST-STAGING__1O2uZ9sINI9prG-OGTMR5IGvjyqgoBnPv.tsv	1O2uZ9sINI9prG-OGTMR5IGvjyqgoBnPv	READING-LIST-STAGING.tsv	text/tab-separated-values	243403	2026-08-24T18:07:33.653Z	9f9dca7e45eff17ddad4adb6885b3b79	ok
The Method Materials/READING-LIST-STAGING__1biSfhJnfLk3XhMNUuZedaroNkCd8d-qx.tsv	1biSfhJnfLk3XhMNUuZedaroNkCd8d-qx	READING-LIST-STAGING.tsv	text/tab-separated-values	243403	2026-08-24T18:07:31.539Z	9f9dca7e45eff17ddad4adb6885b3b79	ok
The Method Materials/RECOMMENDATION-time-absorption.md	1B-_7M_3YyYzUQwV7Tg2jEDihFkYkNRCz	RECOMMENDATION-time-absorption.md	text/markdown	9007	2026-08-28T16:16:36.165Z	0a16a10fa803310169746807144b4e5d	ok
The Method Materials/REGISTER-QUEUE-APPEND-batch1.md	1bfaU_l4Y2dvpoulKkHnn69aqbCTTBU_M	REGISTER-QUEUE-APPEND-batch1.md	text/markdown	4245	2026-08-28T23:13:05.500Z	4b60c0e684afbb1ff054026d85b816a7	ok
The Method Materials/REGISTER-QUEUE-APPEND-batch1__1_kIg2wPmdLqC_OdqCaZLRERu3kriW_cc.md	1_kIg2wPmdLqC_OdqCaZLRERu3kriW_cc	REGISTER-QUEUE-APPEND-batch1.md	text/markdown	4109	2026-08-28T23:11:39.129Z	9e97298e8f052c22897efea881f98ce7	ok
The Method Materials/REGISTER-QUEUE-APPEND-batch2.md	1_mPn2XkxJfW6IWs9FNnIJQMbhbU75Yoc	REGISTER-QUEUE-APPEND-batch2.md	text/markdown	5480	2026-08-29T00:07:07.530Z	965a3b7a500aab7a012cf903aec9f5b9	ok
The Method Materials/REGISTER-QUEUE-APPEND-batch2b.md	1oq9_tyydsz7xVhF1bTg0t3IRmRLsoKTL	REGISTER-QUEUE-APPEND-batch2b.md	text/markdown	5246	2026-08-29T00:34:14.635Z	f1ab54168c2534ff95f0f4ffa96e0213	ok
The Method Materials/REGISTER-QUEUE-APPEND-batch2c.md	15_77yYE_mP0IIDEzpu072mQDAciDznLO	REGISTER-QUEUE-APPEND-batch2c.md	text/markdown	9233	2026-08-29T01:19:48.602Z	0fac9959377f3ef6c7c4f180e7b83a2f	ok
The Method Materials/REGISTER-QUEUE-APPEND-repair-pass.md	14p27_Uixv9EKJYxqdfMb9RvZf80LY1jf	REGISTER-QUEUE-APPEND-repair-pass.md	text/markdown	7517	2026-08-28T22:27:34.903Z	57b203d6468f3066e1223714ffc26e09	ok
The Method Materials/REGISTER-QUEUE-APPEND-repair-pass__18PdvAjSrJsrZ0OHjqc2Kcrzd7TxMM6hu.md	18PdvAjSrJsrZ0OHjqc2Kcrzd7TxMM6hu	REGISTER-QUEUE-APPEND-repair-pass.md	text/markdown	8559	2026-08-28T22:17:58.893Z	f47f1857f2cd11d9f1c30d02d2b6b5ad	ok
The Method Materials/REPAIR-AND-ADDITIONS-1.md	15qJLlYCpCqUX5eWHs9ox8jf_NszDDyBl	REPAIR-AND-ADDITIONS-1.md	text/markdown	8897	2026-08-28T22:27:34.841Z	fe7f8e1438f71c796db114517feabd50	ok
The Method Materials/REPAIR-AND-ADDITIONS.md	1c27EhIvnI1eLenFMT1RfaTRHPb1lO3ha	REPAIR-AND-ADDITIONS.md	text/markdown	5623	2026-08-28T22:17:17.253Z	1a43404da82b9d1c93ff4357d5149a6a	ok
The Method Materials/REPAIR-AND-ADDITIONS__1bl2j1vbvKQT68-EzAwDwq7Nv6Mmrh1by.md	1bl2j1vbvKQT68-EzAwDwq7Nv6Mmrh1by	REPAIR-AND-ADDITIONS.md	text/markdown	4909	2026-08-28T21:36:14.157Z	be723a6705cbaa8de2dd85a0e691adf3	ok
The Method Materials/REQUEST-5-voidfrac-caps.md	1EXoreRWS_Zd0VlEQL02kJOE2iQA8AJxf	REQUEST-5-voidfrac-caps.md	text/markdown	5665	2026-08-29T00:34:14.506Z	c040219308e994990f0b1763b7ea86d1	ok
The Method Materials/REQUEST-SPECTRA-DATA.md	1ionifdQJeceda6_X58e681ojZDui6g5U	REQUEST-SPECTRA-DATA.md	text/markdown	5771	2026-08-24T18:07:36.726Z	edf737532cefc0da3543e0e237b9af71	ok
The Method Materials/RETIRED-handoff-r1-chat149.md	1EhhqCGfzKgYlkuBWNyj9TrseBBz2lqvC	RETIRED-handoff-r1-chat149.md	text/markdown	27730		fa1436b06d5aded15a3ce103ef74e709	ok
The Method Materials/REWRITE-chapter1-principles.md	1DTnkyhaQPOxWvP6h0Ngz4re0XF_zEzx1	REWRITE-chapter1-principles.md	text/markdown	17565	2026-08-28T16:16:35.942Z	ff2cb3a7c21a204c6283bb9b057590e2	ok
The Method Materials/REWRITE-chapter10-void.md	1mE8k-_ruXW06KDx7VKO_3KblyPcoSxLa	REWRITE-chapter10-void.md	text/markdown	5671	2026-08-28T16:16:35.244Z	113a3c36bdd99f8170beadc9a012f6f3	ok
The Method Materials/REWRITE-chapter11-single-expression.md	11Pf92BYFmM5zH2pkd__bbaoRTj7QYk5s	REWRITE-chapter11-single-expression.md	text/markdown	11171	2026-08-28T16:16:35.491Z	dbab0fcd81449b41af8b2029da57ae08	ok
The Method Materials/REWRITE-chapter12A-shape.md	1KGFiOjaXW60cpaEltC1A9NQP93LpO2ve	REWRITE-chapter12A-shape.md	text/markdown	10935	2026-08-28T16:16:35.408Z	2f4a35c968af9c6b914ef8f58e4d644b	ok
The Method Materials/REWRITE-chapter12B-tower.md	15MlD13IyVlhbfgY_4zN-aasp37YXCS2A	REWRITE-chapter12B-tower.md	text/markdown	11020	2026-08-28T16:16:35.593Z	26160c3c315ca39b9fcd6242e4965ecc	ok
The Method Materials/REWRITE-chapter12C-time.md	1cS7VAKQTIMzRP2ijrtebxPU-sEJwvyE3	REWRITE-chapter12C-time.md	text/markdown	14191	2026-08-28T16:16:35.650Z	8eda4d2d78131bfba30e57c769575c2c	ok
The Method Materials/REWRITE-chapter2-protocols.md	1lTL0qnCBWMxx6aoevBCvKIjQgcONyTyt	REWRITE-chapter2-protocols.md	text/markdown	11415	2026-08-28T16:16:36.118Z	a66980ec36176fca2de39debe5adabae	ok
The Method Materials/REWRITE-chapter3-audits.md	1XKg-kZ8l0jQXH99B6eVsOQ9xApTR1_82	REWRITE-chapter3-audits.md	text/markdown	6870	2026-08-28T16:16:36.010Z	006ab7024e24bfc4929aa3de5f176886	ok
The Method Materials/REWRITE-chapter4-periodic-table.md	1g4Fk5H8mxKGi3HUxfl9d9w2XqgKvimJI	REWRITE-chapter4-periodic-table.md	text/markdown	12956	2026-08-28T16:16:35.199Z	da9bcca6bfe615f44b3d191321134fa9	ok
The Method Materials/REWRITE-chapter5-construction.md	1x0zwAHsMnqwe_cIWNsmpwKDYZH5fSERc	REWRITE-chapter5-construction.md	text/markdown	11176	2026-08-28T16:16:34.997Z	d7cb4e8c7e8c29dd604566928c84cb81	ok
The Method Materials/REWRITE-chapter6-what-lambda-is.md	1ya_JRVC2DleDx64IqlLodTwXXzAU-J2N	REWRITE-chapter6-what-lambda-is.md	text/markdown	7798	2026-08-28T16:16:35.129Z	4d28b18099ff0464c68ff42f1ef6240c	ok
The Method Materials/REWRITE-chapter7-arithmetic.md	1iHYXEx6OfQnHUPRNDFKWNRb8KWGx10KO	REWRITE-chapter7-arithmetic.md	text/markdown	5271	2026-08-28T16:16:35.319Z	9b8269b5a47ce94611797bbe0a10d8df	ok
The Method Materials/REWRITE-collaborator-note.md	1y45BjfO-VaURi4U_JQduHsLD5cV3G4mL	REWRITE-collaborator-note.md	text/markdown	8761	2026-08-28T16:16:36.653Z	ece20ac7db56266d11277c58a4fe77df	ok
The Method Materials/REWRITE-frontmatter-conventions.md	1divEyPhVPJttlCQrMlH8xTpjR05s16-8	REWRITE-frontmatter-conventions.md	text/markdown	1363	2026-08-28T16:16:35.082Z	f1a3ea164f40a65c4721def515ac9146	ok
The Method Materials/REWRITE-note-title-paragraph-AB.md	1Usq_WN34hfjEZ7DQ1ILckriPsknyNP6U	REWRITE-note-title-paragraph-AB.md	text/markdown	3537	2026-08-28T16:16:36.565Z	f47141ab3c9a7c6718fa615043f47325	ok
The Method Materials/REWRITE-note-title-paragraph-B-revised.md	1ioJTYSr0_WKid1iub2OPrJGB0SGCMebA	REWRITE-note-title-paragraph-B-revised.md	text/markdown	2477	2026-08-28T16:16:36.706Z	0b820b35470cf85e9d536208d32d61c7	ok
The Method Materials/REWRITE-preface-what-is-the-method-mid.md	1lKqlVvbgQdv3wh4jtG47n6cxRlT2mqvp	REWRITE-preface-what-is-the-method-mid.md	text/markdown	5890	2026-08-28T16:16:36.049Z	be9212fcea3a06655ea4c7e40f0e41be	ok
The Method Materials/REWRITE-preface-what-is-the-method-short.md	1UwAs2KhmOxwNZuCVeM03dceG9wTQ-Ii4	REWRITE-preface-what-is-the-method-short.md	text/markdown	2947	2026-08-28T16:16:35.830Z	ad10c1bc88c7359446773a31aff08bc1	ok
The Method Materials/REWRITE-preface-what-is-the-method.md	1bBGmhWfiOMIn79S3sZWiWNPD1-zDj-TJ	REWRITE-preface-what-is-the-method.md	text/markdown	8932	2026-08-28T16:16:35.888Z	faba5cdcb46483268506a2e9c5f786de	ok
The Method Materials/REWRITE-preface.md	12WVLx3aYKn6FENk1Gi5KuMHYUL0tHJjp	REWRITE-preface.md	text/markdown	7172	2026-08-28T16:16:36.615Z	ff534e9f346e2a8207c903827db6b41c	ok
The Method Materials/RULING-TOLERANCE-489.md	1px4TnJUwG91koWPcWNe3OKwOrGfmjujP	RULING-TOLERANCE-489.md	text/markdown	3121	2026-08-24T18:07:37.007Z	5a9a3803812c2e157770c6d4c9ca041a	ok
The Method Materials/SEED-CAP-FINDING.md	1dS26wtgi6m7Bn1ee9bZQoZNqxqzXaUMa	SEED-CAP-FINDING.md	text/markdown	4714	2026-08-28T20:15:50.545Z	eb9b600b632f3cd66d74a30a038b86b5	ok
The Method Materials/SESSION-67-COMBINED.md	1oLW8u2eAsY2vSQU2GHuV2ggR6ehuLwScdHm89zadLwo	SESSION-67-COMBINED.md	application/vnd.google-apps.document	6878	2026-08-20T23:59:01.708Z	b60f02cf68947c2edbbfe39e694cbe98	ok
The Method Materials/STORE-RECONSTRUCT.tsv	1-1DVdVL5Bx6UjkGhkVEcy9GX8_Y5PT4h	STORE-RECONSTRUCT.tsv	text/tab-separated-values	126538	2026-08-24T18:07:35.460Z	af09d2f29955250876d2d23d9d727216	ok
The Method Materials/STORE-RECONSTRUCT__1KN8-T-hbGcT_skltglVs7MaUrUHtGb4V.tsv	1KN8-T-hbGcT_skltglVs7MaUrUHtGb4V	STORE-RECONSTRUCT.tsv	text/tab-separated-values	126538	2026-08-24T18:07:31.437Z	af09d2f29955250876d2d23d9d727216	ok
The Method Materials/STORE-RECONSTRUCT__1Ofobo8HO6TU4Vphzj7eur_5neUXGFbaS.tsv	1Ofobo8HO6TU4Vphzj7eur_5neUXGFbaS	STORE-RECONSTRUCT.tsv	text/tab-separated-values	126538	2026-08-24T18:07:34.827Z	af09d2f29955250876d2d23d9d727216	ok
The Method Materials/STORE-RECONSTRUCT__1p6Rmg7qmZMaNAkGP2NZnm_l2IPEkQ_yi.tsv	1p6Rmg7qmZMaNAkGP2NZnm_l2IPEkQ_yi	STORE-RECONSTRUCT.tsv	text/tab-separated-values	126538	2026-08-24T18:07:33.572Z	af09d2f29955250876d2d23d9d727216	ok
The Method Materials/STRINGPF-CONVEXITY-RESOLVED.md	1dz_euf_wz_x-rLgJ0t2WjznPknyoRV3a	STRINGPF-CONVEXITY-RESOLVED.md	text/markdown	4962	2026-08-29T22:20:27.460Z	eb6df0965454b20fd533b7a910f2ee14	ok
The Method Materials/STRINGPF-V-DISCREPANCY.md	1eFY066Miw3OwLPz6B3FkhMQRiIG0HMkH	STRINGPF-V-DISCREPANCY.md	text/markdown	2028	2026-08-29T22:00:18.190Z	f3a6a38df6cfaad78157443219d9370e	ok
The Method Materials/SWEEP-B-C-chat67.md	1koOaalheCYdBWmLEPPExhDOl1O-YDMtL	SWEEP-B-C-chat67.md	text/markdown	31772	2026-08-30T02:27:24.987Z	5c1667e7e3ea29d8009291d40e5853d8	ok
The Method Materials/ScIII_asd.tsv	18atbBqAdi0Qm3hOPoxbbcQg6GUhc_BdU	ScIII_asd.tsv	text/tab-separated-values	1269	2026-08-24T18:07:35.660Z	f91a0abff919f6922395320344f1d4ac	ok
The Method Materials/ScIII_asd__123BFjZUa-uJ3heyTUEXchLJruwuUjTXD.tsv	123BFjZUa-uJ3heyTUEXchLJruwuUjTXD	ScIII_asd.tsv	text/tab-separated-values	1269	2026-08-24T18:07:34.036Z	f91a0abff919f6922395320344f1d4ac	ok
The Method Materials/ScIII_asd__13VSF3u0PjI0I5h1GQdUI_CNJJGTauA9I.tsv	13VSF3u0PjI0I5h1GQdUI_CNJJGTauA9I	ScIII_asd.tsv	text/tab-separated-values	1269	2026-08-24T18:07:32.964Z	f91a0abff919f6922395320344f1d4ac	ok
The Method Materials/ScIII_asd__1WiL1gc662EvB8ppRuXKSPzCyFehXaB3z.tsv	1WiL1gc662EvB8ppRuXKSPzCyFehXaB3z	ScIII_asd.tsv	text/tab-separated-values	1269	2026-08-24T18:07:32.030Z	f91a0abff919f6922395320344f1d4ac	ok
The Method Materials/T8-CENSUS.txt	1Q0pSvhZxrQ8fvjr3UxaSmJ_5owV3XMq0	T8-CENSUS.txt	text/plain	1395	2026-08-24T18:07:36.158Z	c99cb5de2b43fde0bc390698a44a7082	ok
The Method Materials/T8-CENSUS__1DUG07bZ67JC6rCWlGIp1COUYZXK0mP9u.txt	1DUG07bZ67JC6rCWlGIp1COUYZXK0mP9u	T8-CENSUS.txt	text/plain	1395	2026-08-24T18:07:33.507Z	c99cb5de2b43fde0bc390698a44a7082	ok
The Method Materials/T8-CENSUS__1GTUGunau1jocRQpi_4Xz_P46HzV0A0DW.txt	1GTUGunau1jocRQpi_4Xz_P46HzV0A0DW	T8-CENSUS.txt	text/plain	1395	2026-08-24T18:07:31.329Z	c99cb5de2b43fde0bc390698a44a7082	ok
The Method Materials/T8-CENSUS__1lt7565y8BEpeEASQtV3oEIS6yvIeT-Xk.txt	1lt7565y8BEpeEASQtV3oEIS6yvIeT-Xk	T8-CENSUS.txt	text/plain	1395	2026-08-24T18:07:34.705Z	c99cb5de2b43fde0bc390698a44a7082	ok
The Method Materials/THREEBODY-DELIVERY-1/HANDOFF-74.md	1vMhJ_7gleRA8gkYin0PtriMy78YF6yfo	HANDOFF-74.md	text/markdown	51439	2026-09-01T20:30:55.168Z	badd59f900e4775536de029798b5daf3	ok
The Method Materials/THREEBODY-DELIVERY-1/HANDOFF-75.md	1L6U1laaU2CsQYHmaLCTTONu8erA0OUpR	HANDOFF-75.md	text/markdown	47460	2026-09-01T20:30:54.999Z	3e8423fe8433156b69ba10d6398d8d33	ok
The Method Materials/THREEBODY-DELIVERY-1/HANDOFF-76.md	1IiWcDyza6DkJt-6Di797wj-73DUjRNSp	HANDOFF-76.md	text/markdown	49917	2026-09-01T20:30:54.828Z	4136603292df961948824b40b9362923	ok
The Method Materials/THREEBODY-DELIVERY-1/HANDOFF-77.md	1u7sOSapurbboG0-Z3wBchjidVxkvFXzt	HANDOFF-77.md	text/markdown	46282	2026-09-01T20:30:54.674Z	31dbcd0d6aa982bb45f6877809671e5b	ok
The Method Materials/THREEBODY-DELIVERY-1/HANDOFF-78.md	1kInSx_rrBs8fV0NVO7S2DardpwhIZtip	HANDOFF-78.md	text/markdown	47710	2026-09-01T20:30:54.547Z	0b30bba90fd84c528c22cbf6615605d4	ok
The Method Materials/THREEBODY-DELIVERY-1/HANDOFF-79.md	1GtHfed8LIwGoqyHFtrI46hc36HgFrrAG	HANDOFF-79.md	text/markdown	49474	2026-09-01T20:30:54.402Z	d4df267f3bf975dd3f3e4caa14ad4be4	ok
The Method Materials/THREEBODY-DELIVERY-1/HANDOFF-80-1.md	1x-LpbyTDOjK5f13tc65jop2gLDAXUH1I	HANDOFF-80-1.md	text/markdown	15123	2026-09-01T20:30:54.126Z	7a39bef6a22b2ad60b09cee809a61282	ok
The Method Materials/THREEBODY-DELIVERY-1/HANDOFF-80.md	1mSeSLcYN9pK27g0k9mfGZB88CYqwMnDM	HANDOFF-80.md	text/markdown	39904	2026-09-01T20:30:54.261Z	d1d0559ef214b55152bd2b713d515a09	ok
The Method Materials/THREEBODY-DELIVERY-1/LOWDIN-DELIVERY-1-part1.zip	1ia_4cIwFu4Eiy-aMeOLn64KDp9KgRZnA	LOWDIN-DELIVERY-1-part1.zip	application/zip	5371	2026-09-01T20:30:53.168Z	632f911b7660184880cabb83f6533936	ok
The Method Materials/THREEBODY-DELIVERY-1/MANIFEST-1.tsv	1vZKBQk_6Gvt5eCI7myQsZXmu07QO8oNy	MANIFEST-1.tsv	text/tab-separated-values	1840	2026-09-01T20:30:52.799Z	2b72f68c7ebf7b595a640976616a5f8c	ok
The Method Materials/THREEBODY-DELIVERY-1/MANIFEST-1__1y3JA8GbIul3trsJqnu7G9G8VQVlj1vgR.tsv	1y3JA8GbIul3trsJqnu7G9G8VQVlj1vgR	MANIFEST-1.tsv	text/tab-separated-values	1840	2026-09-01T20:30:31.308Z	2b72f68c7ebf7b595a640976616a5f8c	ok
The Method Materials/THREEBODY-DELIVERY-1/MANIFEST.tsv	1pVQB9O1x1b7uTlpo1ELEH1W91dmGktrj	MANIFEST.tsv	text/tab-separated-values	366	2026-09-01T20:30:53.121Z	cff61f590b071cb42245ac8f26ffa11d	ok
The Method Materials/THREEBODY-DELIVERY-1/MANIFEST__1J-Rst1NtE6R6Jm5cN1t4nQpCTLN25M4_.tsv	1J-Rst1NtE6R6Jm5cN1t4nQpCTLN25M4_	MANIFEST.tsv	text/tab-separated-values	1840	2026-09-01T20:30:52.078Z	2b72f68c7ebf7b595a640976616a5f8c	ok
The Method Materials/THREEBODY-DELIVERY-1/MANIFEST__1lySGO8GiZqF9dZfOY8C605AdCB21azIJ.tsv	1lySGO8GiZqF9dZfOY8C605AdCB21azIJ	MANIFEST.tsv	text/tab-separated-values	366	2026-09-01T20:30:52.948Z	cff61f590b071cb42245ac8f26ffa11d	ok
